competition_id,season,games,in_balanced_panel
A1,2024,164,0
A1,2025,192,0
ARG1,2024,178,0
ARG1,2025,240,0
AUS1,2024,169,0
AUS1,2025,156,0
BE1,2012,240,1
BE1,2013,240,1
BE1,2014,240,1
BE1,2015,240,1
BE1,2016,240,1
BE1,2017,240,1
BE1,2018,240,1
BE1,2019,232,1
BE1,2020,306,1
BE1,2021,306,1
BE1,2022,306,1
BE1,2023,240,1
BE1,2024,240,1
BE1,2025,240,1
BRA1,2024,380,0
BRA1,2025,177,0
C1,2024,202,0
C1,2025,228,0
DK1,2012,198,1
DK1,2013,198,1
DK1,2014,198,1
DK1,2015,198,1
DK1,2016,182,1
DK1,2017,182,1
DK1,2018,182,1
DK1,2019,182,1
DK1,2020,132,1
DK1,2021,132,1
DK1,2022,132,1
DK1,2023,132,1
DK1,2024,132,1
DK1,2025,132,1
ES1,2012,380,1
ES1,2013,380,1
ES1,2014,380,1
ES1,2015,380,1
ES1,2016,380,1
ES1,2017,380,1
ES1,2018,380,1
ES1,2019,380,1
ES1,2020,380,1
ES1,2021,380,1
ES1,2022,380,1
ES1,2023,380,1
ES1,2024,380,1
ES1,2025,380,1
FR1,2012,380,1
FR1,2013,380,1
FR1,2014,380,1
FR1,2015,380,1
FR1,2016,380,1
FR1,2017,380,1
FR1,2018,380,1
FR1,2019,279,1
FR1,2020,380,1
FR1,2021,380,1
FR1,2022,380,1
FR1,2023,306,1
FR1,2024,306,1
FR1,2025,306,1
GB1,2012,380,1
GB1,2013,380,1
GB1,2014,380,1
GB1,2015,380,1
GB1,2016,380,1
GB1,2017,380,1
GB1,2018,380,1
GB1,2019,380,1
GB1,2020,380,1
GB1,2021,380,1
GB1,2022,380,1
GB1,2023,380,1
GB1,2024,380,1
GB1,2025,380,1
GR1,2012,240,1
GR1,2013,306,1
GR1,2014,305,1
GR1,2015,240,1
GR1,2016,240,1
GR1,2017,240,1
GR1,2018,240,1
GR1,2019,182,1
GR1,2020,182,1
GR1,2021,182,1
GR1,2022,182,1
GR1,2023,182,1
GR1,2024,182,1
GR1,2025,182,1
IT1,2012,380,1
IT1,2013,380,1
IT1,2014,380,1
IT1,2015,380,1
IT1,2016,380,1
IT1,2017,380,1
IT1,2018,380,1
IT1,2019,380,1
IT1,2020,380,1
IT1,2021,380,1
IT1,2022,380,1
IT1,2023,380,1
IT1,2024,380,1
IT1,2025,380,1
JAP1,2024,296,0
KR1,2024,168,0
KR1,2025,180,0
L1,2012,306,1
L1,2013,306,1
L1,2014,306,1
L1,2015,306,1
L1,2016,306,1
L1,2017,306,1
L1,2018,306,1
L1,2019,306,1
L1,2020,306,1
L1,2021,306,1
L1,2022,306,1
L1,2023,306,1
L1,2024,306,1
L1,2025,306,1
MEX1,2024,88,0
MEX1,2025,153,0
MLS1,2024,509,0
MLS1,2025,218,0
NL1,2012,306,1
NL1,2013,306,1
NL1,2014,306,1
NL1,2015,306,1
NL1,2016,306,1
NL1,2017,306,1
NL1,2018,306,1
NL1,2019,232,1
NL1,2020,306,1
NL1,2021,306,1
NL1,2022,306,1
NL1,2023,306,1
NL1,2024,306,1
NL1,2025,306,1
NO1,2024,240,0
NO1,2025,89,0
PL1,2024,306,0
PL1,2025,306,0
PO1,2012,240,1
PO1,2013,240,1
PO1,2014,306,1
PO1,2015,306,1
PO1,2016,306,1
PO1,2017,306,1
PO1,2018,306,1
PO1,2019,306,1
PO1,2020,306,1
PO1,2021,306,1
PO1,2022,306,1
PO1,2023,306,1
PO1,2024,306,1
PO1,2025,306,1
RO1,2024,240,0
RO1,2025,240,0
RSK1,2024,135,0
RSK1,2025,96,0
RU1,2012,240,1
RU1,2013,240,1
RU1,2014,240,1
RU1,2015,240,1
RU1,2016,240,1
RU1,2017,240,1
RU1,2018,240,1
RU1,2019,240,1
RU1,2020,240,1
RU1,2021,240,1
RU1,2022,240,1
RU1,2023,240,1
RU1,2024,240,1
RU1,2025,240,1
SA1,2024,306,0
SA1,2025,306,0
SC1,2012,228,1
SC1,2013,228,1
SC1,2014,228,1
SC1,2015,228,1
SC1,2016,228,1
SC1,2017,198,1
SC1,2018,198,1
SC1,2019,179,1
SC1,2020,198,1
SC1,2021,198,1
SC1,2022,198,1
SC1,2023,198,1
SC1,2024,198,1
SC1,2025,198,1
SE1,2024,240,0
SE1,2025,89,0
SER1,2024,240,0
SER1,2025,240,0
TR1,2012,306,1
TR1,2013,306,1
TR1,2014,306,1
TR1,2015,306,1
TR1,2016,306,1
TR1,2017,306,1
TR1,2018,306,1
TR1,2019,306,1
TR1,2020,420,1
TR1,2021,380,1
TR1,2022,342,1
TR1,2023,380,1
TR1,2024,342,1
TR1,2025,306,1
TS1,2024,240,0
TS1,2025,240,0
UKR1,2012,240,1
UKR1,2013,224,1
UKR1,2014,181,1
UKR1,2015,182,1
UKR1,2016,192,1
UKR1,2017,132,1
UKR1,2018,132,1
UKR1,2019,132,1
UKR1,2020,182,1
UKR1,2021,143,1
UKR1,2022,240,1
UKR1,2023,240,1
UKR1,2024,240,1
UKR1,2025,240,1
