competition_id,competition_code,name,sub_type,type,country_id,country_name,domestic_league_code,confederation,total_clubs,url
A1,bundesliga,bundesliga,first_tier,domestic_league,127,Austria,A1,europa,12,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/A1
ARG1,torneo-apertura,torneo-apertura,first_tier,domestic_league,9,Argentina,ARG1,amerika,30,https://www.transfermarkt.co.uk/torneo-apertura/startseite/wettbewerb/ARG1
AUS1,a-league-men,a-league-men,first_tier,domestic_league,12,Australia,AUS1,asien,12,https://www.transfermarkt.co.uk/a-league-men/startseite/wettbewerb/AUS1
BE1,jupiler-pro-league,jupiler-pro-league,first_tier,domestic_league,19,Belgium,BE1,europa,16,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1
BRA1,campeonato-brasileiro-serie-a,campeonato-brasileiro-serie-a,first_tier,domestic_league,26,Brazil,BRA1,amerika,20,https://www.transfermarkt.co.uk/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1
C1,super-league,super-league,first_tier,domestic_league,148,Switzerland,C1,europa,12,https://www.transfermarkt.co.uk/super-league/startseite/wettbewerb/C1
DK1,superliga,superliga,first_tier,domestic_league,39,Denmark,DK1,europa,12,https://www.transfermarkt.co.uk/superliga/startseite/wettbewerb/DK1
ES1,laliga,laliga,first_tier,domestic_league,157,Spain,ES1,europa,20,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1
FR1,ligue-1,ligue-1,first_tier,domestic_league,50,France,FR1,europa,18,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1
GB1,premier-league,premier-league,first_tier,domestic_league,189,England,GB1,europa,20,https://www.transfermarkt.co.uk/premier-league/startseite/wettbewerb/GB1
GR1,super-league-1,super-league-1,first_tier,domestic_league,56,Greece,GR1,europa,14,https://www.transfermarkt.co.uk/super-league-1/startseite/wettbewerb/GR1
IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,20,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1
JAP1,j1-league,j1-league,first_tier,domestic_league,77,Japan,JAP1,asien,20,https://www.transfermarkt.co.uk/j1-league/startseite/wettbewerb/JAP1
KR1,supersport-hnl,supersport-hnl,first_tier,domestic_league,37,Croatia,KR1,europa,10,https://www.transfermarkt.co.uk/supersport-hnl/startseite/wettbewerb/KR1
L1,bundesliga,bundesliga,first_tier,domestic_league,40,Germany,L1,europa,18,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/L1
MEX1,liga-mx-clausura,liga-mx-clausura,first_tier,domestic_league,110,Mexico,MEX1,amerika,18,https://www.transfermarkt.co.uk/liga-mx-clausura/startseite/wettbewerb/MEX1
MLS1,major-league-soccer,major-league-soccer,first_tier,domestic_league,184,United States,MLS1,amerika,30,https://www.transfermarkt.co.uk/major-league-soccer/startseite/wettbewerb/MLS1
NL1,eredivisie,eredivisie,first_tier,domestic_league,122,Netherlands,NL1,europa,18,https://www.transfermarkt.co.uk/eredivisie/startseite/wettbewerb/NL1
NO1,eliteserien,eliteserien,first_tier,domestic_league,125,Norway,NO1,europa,16,https://www.transfermarkt.co.uk/eliteserien/startseite/wettbewerb/NO1
PL1,pko-bp-ekstraklasa,pko-bp-ekstraklasa,first_tier,domestic_league,135,Poland,PL1,europa,18,https://www.transfermarkt.co.uk/pko-bp-ekstraklasa/startseite/wettbewerb/PL1
PO1,liga-portugal,liga-portugal,first_tier,domestic_league,136,Portugal,PO1,europa,18,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1
RO1,superliga,superliga,first_tier,domestic_league,140,Romania,RO1,europa,16,https://www.transfermarkt.co.uk/superliga/startseite/wettbewerb/RO1
RSK1,k-league-1,k-league-1,first_tier,domestic_league,87,"Korea, South",RSK1,asien,12,https://www.transfermarkt.co.uk/k-league-1/startseite/wettbewerb/RSK1
RU1,premier-liga,premier-liga,first_tier,domestic_league,141,Russia,RU1,europa,16,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/RU1
SA1,saudi-pro-league,saudi-pro-league,first_tier,domestic_league,146,Saudi Arabia,SA1,asien,18,https://www.transfermarkt.co.uk/saudi-pro-league/startseite/wettbewerb/SA1
SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,12,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1
SE1,allsvenskan,allsvenskan,first_tier,domestic_league,147,Sweden,SE1,europa,16,https://www.transfermarkt.co.uk/allsvenskan/startseite/wettbewerb/SE1
SER1,super-liga-srbije,super-liga-srbije,first_tier,domestic_league,215,Serbia,SER1,europa,16,https://www.transfermarkt.co.uk/super-liga-srbije/startseite/wettbewerb/SER1
TR1,super-lig,super-lig,first_tier,domestic_league,174,Türkiye,TR1,europa,18,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1
TS1,chance-liga,chance-liga,first_tier,domestic_league,172,Czech Republic,TS1,europa,16,https://www.transfermarkt.co.uk/chance-liga/startseite/wettbewerb/TS1
UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,16,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1
